,Eth,Glu
RPL20A,1,1
COA6,1,1
YMR265C,1,1
AEP2,0,1
RIT1,1,1
HAS1,1,0
ATM1,0,1
YME2,1,1
MRPS18,1,1
CLA4,1,0
PCL1,1,1
POP3,1,0
MET2,1,1
FOL1,1,1
VPS75,1,1
ADE12,1,1
PPN2,1,0
YNL208W,1,1
YNL193W,1,1
CHS1,1,1
UBP10,1,1
RPS3,1,1
RPL42A,1,1
YGP1,1,1
CUZ1,0,1
LSM7,1,1
MFA2,0,1
KRE33,1,1
NRK1,1,1
MET4,4,3
AVT4,1,1
RHO2,1,1
SUN4,1,1
AQR1,2,1
COX5A,2,1
YNL046W,1,1
YIP3,1,1
NCE103,1,1
HHF2,1,1
PBI2,1,2
HEF3,0,1
SWM2,0,1
CSE2,1,1
TIM23,2,2
MCK1,1,1
RPS19B,1,0
WSC2,1,0
SIP3,1,1
ZWF1,1,1
PDR16,2,2
POP1,1,1
YNL194C,1,1
NOP13,1,1
PSD1,3,3
NSG2,0,1
PGA2,2,2
ALF1,2,2
YNL144C,1,1
YNL134C,1,1
FYV6,1,1
CPT1,1,1
ESBP6,1,1
LEU4,4,3
RAS2,1,2
PHO23,1,0
EOS1,1,1
POR1,1,1
SLM2,1,1
IDH1,1,1
HHT2,1,1
PET8,1,0
RPC34,0,1
ACC1,2,2
BDS1,1,1
ZPS1,1,1
HRP1,1,0
SHR5,2,3
ZEO1,2,2
YOL107W,1,1
PKH2,1,0
PHM7,1,1
GPD2,1,1
ARG1,1,1
RPP2A,1,1
SMC5,1,1
TAT2,1,1
RCL1,1,1
AUS1,0,1
MCO10,1,2
HST3,1,1
IRC23,0,1
CYT1,2,1
WHI5,1,1
LPX1,2,2
ECM3,2,2
KTR1,1,1
RGS2,3,3
DPI34,0,1
BAG7,0,1
IDH2,1,1
PDR5,1,1
DDP1,1,1
HEM15,1,1
STE4,1,1
WTM1,1,1
IRC13,2,2
PAC1,2,1
MOD5,1,1
YOR289W,0,1
BUD7,1,0
CPA1,3,3
SFG1,1,1
FAA1,2,2
HSH49,2,2
PDR10,1,1
GDS1,1,1
ALD4,3,3
YOR385W,1,1
TRM11,1,0
MDY2,1,2
INO4,1,1
IZH4,1,0
MAM3,1,1
DDR2,1,1
RPS15,1,1
MDM38,1,1
MIM1,1,1
DIS3,1,1
HTZ1,1,1
PFA4,1,0
SLG1,0,1
HSP10,1,2
AHC1,1,1
CIN5,0,2
VHS3,0,1
YOR062C,1,1
YNG1,2,1
NRT1,1,1
TGL5,1,1
RKI1,1,0
NUP1,1,1
PNS1,2,0
YRR1,1,1
ALE1,1,1
GSP2,1,1
RPL33B,2,2
ENV9,1,0
SEC63,0,1
HRK1,2,1
TPO4,1,1
MPD1,0,1
MBF1,1,0
COT1,2,1
SNC2,1,1
YOR342C,2,2
TYE7,2,2
PUT4,3,3
GDH1,2,2
SAM3,1,1
ATP15,1,1
MDL2,1,1
BBP1,1,0
HFI1,1,1
SSO1,1,1
FAS2,2,2
FMP40,0,2
FLC1,1,1
MF(ALPHA)1,0,1
SPT14,0,1
DAP1,1,1
CDC60,0,1
ISU1,1,1
SSU1,1,1
RPS9A,1,1
RGL1,2,2
ALD6,1,1
CAM1,1,1
PMA2,1,1
RMI1,2,2
CTF19,1,1
CIP1,2,2
CHL1,1,1
PDH1,1,1
HAA1,1,1
YME1,2,1
YOP1,1,1
CSR2,1,1
GLN1,2,2
VMA13,1,1
SPO24,2,2
ROX1,1,1
NOT5,0,1
MRPL51,0,1
SNT309,0,1
RGC1,1,1
CTR1,1,1
NCE102,1,1
CUR1,1,1
SMX3,1,1
DPM1,1,1
AQY1,1,1
CLN2,1,0
ATG41,3,3
RPL36B,2,2
GRE1,0,2
CUP9,1,1
TRE1,0,1
OYE3,1,1
YPL162C,1,1
PRM4,1,1
KIP2,1,1
GIP3,1,1
RPS6A,1,1
MOT1,1,1
YPL068C,2,2
HTC1,2,2
SUR1,1,1
DIG1,1,1
EGD1,1,1
SKS1,1,1
VTC3,1,1
IRC15,1,1
HST2,2,2
RQC2,1,1
HAL1,1,1
ICL2,1,0
MIN8,1,1
CMR3,3,2
EAF3,2,1
APL4,1,1
YPR063C,1,1
LTP1,1,1
TMH18,0,1
SUE1,1,1
TPO3,1,1
RPL32,1,1
KTI11,1,1
KIP1,1,0
TOD6,1,0
ECM13,1,1
PRE7,1,1
RPL19B,1,1
ACH1,1,1
HTB2,1,1
YBR016W,1,1
RKM3,2,2
ECM33,1,1
TEC1,2,2
AAC3,1,1
MEO1,1,1
ADH5,1,1
AMN1,1,1
YSY6,1,1
EXO5,1,1
YPC1,1,0
RPL21A,1,1
COS111,2,2
COQ21,1,1
VBA2,1,0
MAL33,1,1
SRO77,1,1
ROX3,1,1
AAR2,1,1
RPS8A,1,1
PRX1,1,0
YBL055C,2,1
COR1,1,1
FUI1,1,1
PET9,1,1
YBL029C-A,2,2
YBL028C,1,1
HTA2,1,1
MNN2,1,1
CHS3,1,0
CDS1,2,2
REB1,1,1
REG2,1,1
NRG2,1,1
TIP1,1,1
BAP2,1,1
SLM4,1,1
SPT7,1,0
RPL19A,1,1
YBR085C-A,1,1
NHP6B,1,0
TIM12,1,0
CYC8,1,1
TKL2,1,1
TPS1,1,1
SUP45,1,1
TOS1,1,1
EHT1,1,1
RPS6B,1,1
PGI1,1,1
PYC2,1,1
PDB1,1,1
PCS60,1,1
OM14,1,1
YBR238C,1,1
THI2,1,1
RGD1,1,1
PHO89,2,2
PGS1,1,0
RER1,0,1
SAT4,1,1
PGK1,1,1
ELO2,1,1
HIS4,2,2
GBP2,1,0
YCL002C,0,1
CIT2,2,2
YCR006C,2,2
ADY2,1,1
ADP1,1,1
PMP1,1,1
RPS14A,1,1
YCR043C,1,0
PWP2,1,1
MPH2,1,1
RPL35A,1,0
INH1,1,1
PAR32,1,0
BPL1,1,0
RGT2,1,1
RPL35B,1,2
LYS21,2,1
YDL124W,1,1
NSE4,1,1
PMT5,1,1
SRP14,1,1
RPL31A,1,1
USO1,1,0
SIT4,3,2
GPD1,2,1
GRX6,1,1
TRP1,1,1
GAL3,1,1
SNQ2,2,2
RSM10,2,2
HEM13,1,1
SNF11,2,2
SED1,1,1
YDR124W,1,1
ARO1,1,0
EKI1,2,2
RPA14,1,1
HSP42,1,1
HMO1,1,0
CCT6,1,1
EBS1,1,1
MSS4,2,2
UPC2,1,1
ADR1,3,3
CRF1,0,1
HTA1,0,1
HEM1,0,1
VHS1,1,1
BSC2,1,1
RNH202,1,1
SUR2,1,1
BFR2,1,1
SSF2,1,1
TRR1,1,1
EFT2,1,1
SAC7,1,1
PDR15,1,1
GPI19,1,0
RPS18A,1,1
PPN1,1,1
KRE2,1,0
LCD1,1,1
SMT3,2,2
SDH7,1,1
GRX2,1,1
FPR2,0,1
SNA2,1,1
RBA50,1,1
GDH2,1,0
DLD1,1,0
CRD1,1,0
CDC48,1,1
HNT1,1,1
PHO2,1,1
QRI7,1,0
THI3,1,1
MRK1,1,1
RAD59,1,0
PSA1,1,1
KNH1,2,2
STP4,1,1
BSC1,1,1
RTK1,1,1
YDL012C,1,1
SOK1,1,1
PST2,1,1
LYS14,1,1
NRG1,1,0
RPC11,1,1
TPI1,1,1
TGL2,1,0
IPT1,2,2
ALT2,0,1
INO2,1,1
SAC6,1,1
SWI5,2,2
CPR1,1,1
STB3,1,1
ARG82,1,0
SND1,1,1
UME6,2,2
HTB1,0,1
COX20,0,1
HSP78,1,1
YAP6,1,1
SWM1,1,1
PMP3,2,1
ATP5,1,1
GIC2,3,2
HXT6,3,3
SDH6,1,1
ATO3,2,2
APT2,1,1
YHP1,1,1
YDR476C,1,1
PHO8,1,0
CWC21,1,0
RIB3,1,1
ITR1,3,4
SEC20,1,1
SAM2,2,2
LPP1,0,1
PSP1,1,1
GNP1,2,2
EMI1,1,1
YDR524C-B,1,1
YDR541C,1,0
IES6,1,1
UTR2,1,1
MCM3,1,1
TIM9,1,0
GTT3,1,1
MNN1,2,2
TIR1,1,0
ISC1,2,0
GPA2,1,1
PRO3,1,1
GCD11,1,0
YER034W,2,2
EDC2,2,2
THO1,1,1
"ARG5,6",1,1
ALD5,1,1
IES5,2,2
RAD51,1,0
RPS8B,1,0
RPL23B,1,1
LSM5,2,2
OXA1,1,1
YEL073C,1,0
HXT13,1,1
PRB1,1,1
SOM1,1,1
GLY1,1,1
PMP2,1,1
AFG3,2,1
SPC25,3,1
SBH2,1,1
CHO1,1,1
SAH1,1,1
ERG28,1,1
HOM3,1,0
YER053C-A,1,1
GIP2,0,1
HIS1,1,1
FCY2,1,1
GPP2,1,1
VHR2,1,1
DOT6,1,1
MET6,2,2
PUP3,1,0
AST2,1,0
SLX8,1,1
COM2,1,1
YER137C,2,2
FTR1,2,1
YER152C,2,2
PET122,2,2
YER158C,2,2
BUR6,1,1
SLO1,0,1
STE2,1,0
BUD27,1,1
GAT1,1,1
HSP12,1,1
LOC1,0,1
CDC26,0,1
ACT1,1,0
GYP8,1,0
EPL1,1,1
MDJ1,1,1
GSY1,1,1
IGD1,1,1
RPL2A,2,2
QCR6,1,1
PHO4,0,1
HXK1,1,1
ZRT1,2,2
HXK2,1,0
TAD1,1,1
"ADE5,7",1,1
COX13,1,0
ATG1,1,1
SUT1,1,1
PEX14,1,1
SCS3,1,1
MET13,3,3
RPS2,1,1
CDC20,1,1
SNF4,1,1
LCL3,0,1
AFT1,1,1
PYC1,1,2
OLE1,2,2
RIM8,1,1
PMC1,0,1
GSC2,2,1
KSS1,1,1
TAM41,1,1
SCM4,1,1
FMP48,2,2
MUP1,1,1
ERG25,1,1
CTT1,1,1
ASK10,0,1
YGR122W,1,1
YGR126W,1,1
FHN1,1,1
BTN2,1,0
SKN1,1,1
GPC1,2,1
CYS4,1,1
CHO2,2,2
YGR161W-C,1,1
PSD2,1,1
YCH1,2,1
ADE3,2,1
RPS0A,1,1
YHB1,2,2
MPC3,1,1
ENO1,2,2
YOR1,1,1
MAL13,0,1
MTO1,1,1
STR3,1,1
RAD54,1,1
LYS5,1,1
RPL9A,1,1
SOH1,1,1
MON1,1,1
HNM1,1,1
SDS23,3,3
MIG1,1,1
PMA1,1,1
COG7,1,1
YGR035C,1,1
RME1,1,1
YGR067C,2,2
PIL1,2,2
MEP1,1,1
PPT1,1,1
YGR130C,1,1
ECL1,1,1
RPL24B,2,1
CCM1,1,1
GTO1,1,1
RTS3,1,1
LSO2,1,1
ERG1,1,1
ATF2,0,1
RNR4,1,1
CRH1,0,1
TDH3,1,1
FYV8,0,1
PCT1,2,1
PHO81,1,0
KEL2,2,1
YAP1802,1,1
RIE1,1,1
RAD2,1,1
FOL2,1,0
HUA1,1,0
SCW4,1,1
PXR1,1,1
IMA1,0,1
MUP3,1,0
OSH7,1,1
STP2,2,2
RPL27A,1,0
YHR033W,2,2
NEL1,1,1
NCP1,1,0
FSH1,1,1
HTD2,1,1
PCL5,2,2
SAM35,1,1
GRE3,1,1
EPT1,1,1
ARO9,1,1
MPC2,1,1
ENO2,1,1
FMO1,0,1
ROF1,1,1
STB5,1,1
OYE2,1,1
GND1,1,1
UTP9,1,1
MNL1,1,1
CBP2,1,0
GUT1,1,1
GOS1,1,1
NPR3,0,1
OPI1,1,1
TDA3,1,0
ARG4,1,1
PIH1,1,1
HXT5,2,2
YCK1,1,1
SPS100,0,1
DCD1,1,0
YAP1801,1,1
PRP8,1,1
RPS4B,1,1
SET5,0,1
SUC2,1,0
POG1,1,0
VHR1,1,1
GPP1,1,1
MET30,2,1
ULP2,2,1
FAF1,1,1
RPL2B,1,1
SNL1,1,0
BAR1,1,0
TIR3,2,1
FAA3,1,1
CFD1,0,1
CMI7,0,1
MGA2,1,0
RPL16A,1,1
RPI1,1,1
SLM1,1,0
XBP1,2,2
SER33,1,0
RGI2,1,1
YIL055C,2,2
RPL34B,1,1
SYG1,2,1
NOT3,1,0
BCY1,2,1
HIS6,1,1
PDR11,2,2
DAL3,1,0
