Gene	Chromosome	TSS	Strand	DistanceTSStoORF
YJL193W	chr10	60130	+	19
RPS14B	chr10	62540	+	30
RPL39	chr10	64691	+	26
MNN5	chr10	68916	+	29
GON7	chr10	72201	+	37
MNN11	chr10	72783	+	75
RBH1	chr10	74426	+	22
PFD1	chr10	77507	+	68
RPL17B	chr10	79553	+	21
KRE9	chr10	83767	+	115
CPS1	chr10	86500	+	28
ERG20	chr10	93736	+	56
FMP33	chr10	105985	+	19
DAS1	chr10	126084	+	45
RPA34	chr10	129130	+	57
IDS2	chr10	131916	+	126
SFH5	chr10	133875	+	35
ROQ1	chr10	135076	+	33
TIM17	chr10	135821	+	30
RPB4	chr10	139616	+	94
LCB3	chr10	146906	+	31
MRS3	chr10	149285	+	85
YJL132W	chr10	150648	+	18
ALB1	chr10	178450	+	17
YJL118W	chr10	180427	+	-38
PHO86	chr10	181231	+	50
ASF1	chr10	184959	+	76
MDV1	chr10	188560	+	25
CCT7	chr10	191097	+	51
SET4	chr10	208139	+	192
PAM16	chr10	210557	+	44
MEF2	chr10	214534	+	42
LSB6	chr10	220474	+	65
CHS6	chr10	222602	+	88
SAP185	chr10	225168	+	190
PHS1	chr10	228823	+	44
MRPL49	chr10	229729	+	37
SRS2	chr10	240485	+	214
SIP4	chr10	249078	+	116
ARG3	chr10	252041	+	26
EXO70	chr10	256037	+	58
TAX4	chr10	262042	+	67
IML2	chr10	264339	+	114
NET1	chr10	278448	+	65
JEM1	chr10	286365	+	84
ARG2	chr10	289355	+	45
COA3	chr10	299962	+	29
LAS21	chr10	300541	+	11
NUP82	chr10	303244	+	40
BNA3	chr10	306661	+	-7
LOG1	chr10	316597	+	28
TIM54	chr10	317528	+	5
PEP8	chr10	319123	+	43
TDH1	chr10	321465	+	74
IRC8	chr10	322980	+	75
MTR4	chr10	325716	+	61
CHM7	chr10	329201	+	27
AIM22	chr10	335617	+	24
YJL045W	chr10	339250	+	29
MHP1	chr10	344430	+	65
NSP1	chr10	348972	+	58
SNX4	chr10	361952	+	119
KAR2	chr10	364535	+	38
HCA4	chr10	367057	+	26
MAD2	chr10	370859	+	44
RNR2	chr10	375600	+	50
RRN7	chr10	377166	+	38
MPS3	chr10	386034	+	100
CCT3	chr10	390770	+	25
CYR1	chr10	415041	+	144
COX16	chr10	422606	+	66
PRE3	chr10	425154	+	37
AVT1	chr10	426774	+	56
MPP10	chr10	428863	+	30
APL1	chr10	435894	+	57
POL31	chr10	439222	+	8
SUI2	chr10	440952	+	96
MHO1	chr10	442454	+	4
MET3	chr10	446224	+	39
GPI14	chr10	450355	+	40
TMA22	chr10	451795	+	47
YJR015W	chr10	452763	+	-29
LSM8	chr10	459769	+	28
CPR7	chr10	481055	+	23
PET191	chr10	486639	+	41
RAD26	chr10	487341	+	11
MLO127	chr10	493941	+	-8
GEF1	chr10	497701	+	42
NUP85	chr10	504029	+	23
TAH11	chr10	511922	+	27
CYC1	chr10	516155	+	61
ISY1	chr10	518550	+	26
OSM1	chr10	519728	+	13
RAD7	chr10	521882	+	60
BFA1	chr10	523843	+	63
KCH1	chr10	525810	+	125
HIT1	chr10	528305	+	10
CDC8	chr10	539045	+	23
PTK2	chr10	540721	+	72
RPA12	chr10	550153	+	47
CCT5	chr10	550883	+	36
TOR1	chr10	554389	+	32
RFC2	chr10	562611	+	40
MOG1	chr10	568184	+	-82
HOC1	chr10	568928	+	60
BNA2	chr10	573910	+	-26
YJR084W	chr10	578731	+	23
STE18	chr10	581058	+	32
BIR1	chr10	582649	+	90
BUD4	chr10	593693	+	51
RPL43B	chr10	603274	+	20
SFC1	chr10	604614	+	148
YJR096W	chr10	606154	+	30
JJJ3	chr10	607293	+	105
YUH1	chr10	610476	+	82
RSM26	chr10	613189	+	30
URA8	chr10	615676	+	63
ADO1	chr10	618534	+	32
ECM27	chr10	619796	+	27
ABM1	chr10	623889	+	-192
YMR1	chr10	628459	+	141
NNF1	chr10	631996	+	19
YJR112W-A	chr10	632742	+	33
YJR115W	chr10	635095	+	-188
TDA4	chr10	635682	+	109
STE24	chr10	636943	+	30
ATP2	chr10	642380	+	193
IBA57	chr10	644675	+	67
RPS5	chr10	646831	+	36
MNS1	chr10	662561	+	49
NMD5	chr10	664427	+	61
XPT1	chr10	667867	+	90
TIM8	chr10	671917	+	20
IML1	chr10	679506	+	27
IPA1	chr10	690839	+	33
YJR142W	chr10	692086	+	21
MGM101	chr10	695801	+	47
HMS2	chr10	699126	+	36
BAT2	chr10	700653	+	57
YJR149W	chr10	702176	+	-50
DAL5	chr10	714633	+	59
YJR154W	chr10	720570	+	239
AAD10	chr10	722124	+	306
IMA5	chr10	14908	-	22
OPT1	chr10	25075	-	28
NUC1	chr10	30030	-	52
LAA1	chr10	36242	-	16
YJL206C	chr10	38719	-	-8
ACO2	chr10	47628	-	23
MBB1	chr10	48936	-	-26
ELO1	chr10	57587	-	23
SOP4	chr10	62225	-	28
RPS22A	chr10	64102	-	16
SWE1	chr10	68146	-	93
ATG36	chr10	71829	-	63
ATP12	chr10	77383	-	35
ATG27	chr10	78901	-	16
SWI3	chr10	83377	-	58
RFA3	chr10	85327	-	8
TOH1	chr10	89703	-	32
ASG7	chr10	90579	-	20
SET2	chr10	93301	-	93
HAL5	chr10	98385	-	143
TPK1	chr10	100162	-	218
YJL163C	chr10	102134	-	19
JJJ2	chr10	104435	-	49
CIS3	chr10	111759	-	42
FAR1	chr10	115141	-	44
SSY5	chr10	117776	-	56
FBP26	chr10	119528	-	118
VPS35	chr10	122758	-	58
INO1	chr10	124697	-	4
SNA3	chr10	125565	-	33
MRX5	chr10	131384	-	67
YAK1	chr10	139227	-	88
YUR1	chr10	141831	-	83
TIF2	chr10	143492	-	51
GLG2	chr10	144895	-	18
RPS21B	chr10	146056	-	33
DPI8	chr10	148627	-	29
AIM23	chr10	154132	-	31
URA2	chr10	161699	-	580
TRK1	chr10	166350	-	291
PBS2	chr10	169077	-	226
MCO6	chr10	170545	-	86
SPT10	chr10	173039	-	69
GCD14	chr10	175472	-	42
LSM1	chr10	176561	-	166
MTC1	chr10	178199	-	8
RPE1	chr10	179853	-	12
NCA3	chr10	183828	-	205
GZF3	chr10	194931	-	84
UTP10	chr10	200606	-	28
YJL107C	chr10	203357	-	74
GSM1	chr10	214351	-	196
GSH1	chr10	219783	-	151
KHA1	chr10	237763	-	45
TOK1	chr10	240074	-	-14
GWT1	chr10	245836	-	8
TRL1	chr10	255856	-	103
ALY2	chr10	261411	-	141
ARP4	chr10	268552	-	13
SCP160	chr10	272676	-	182
PRY1	chr10	274206	-	164
PRY3	chr10	277322	-	73
SMC3	chr10	286140	-	23
PSF2	chr10	289167	-	37
YJL070C	chr10	293912	-	7
UTP18	chr10	295980	-	6
YJL068C	chr10	297204	-	21
MPM1	chr10	298178	-	38
DLS1	chr10	298859	-	34
MRPL8	chr10	299782	-	39
BIT61	chr10	311186	-	45
IKS1	chr10	313458	-	69
ZAP1	chr10	316349	-	8
UBX6	chr10	331917	-	25
YJL047C-A	chr10	332648	-	215
RTT101	chr10	335437	-	74
GYP6	chr10	342959	-	37
TAD2	chr10	364295	-	48
BET4	chr10	370745	-	61
VPS53	chr10	374160	-	61
APS3	chr10	379860	-	31
PET130	chr10	381620	-	-15
BBC1	chr10	385739	-	92
MAD3	chr10	394269	-	-8
VTC4	chr10	396683	-	47
RPC17	chr10	398047	-	40
NOP9	chr10	402824	-	25
CCT8	chr10	404946	-	46
CTK2	chr10	407405	-	59
SYS1	chr10	422241	-	13
OST1	chr10	424735	-	56
MRX12	chr10	432592	-	11
SAG1	chr10	435696	-	807
TDH2	chr10	444757	-	48
SPC1	chr10	448404	-	30
YJR011C	chr10	449484	-	45
YJR012C	chr10	450226	-	-205
ILV3	chr10	456236	-	15
ESS1	chr10	457068	-	22
TES1	chr10	458308	-	14
REC107	chr10	459618	-	26
MDE1	chr10	460979	-	11
BNA1	chr10	461705	-	30
RBH2	chr10	476252	-	59
GEA1	chr10	480885	-	76
RAV1	chr10	486497	-	49
URB2	chr10	503827	-	67
POL32	chr10	507459	-	34
VPS55	chr10	509156	-	57
SSC1	chr10	511644	-	139
ANB1	chr10	515308	-	29
UTR1	chr10	518373	-	18
YJR056C	chr10	537785	-	174
APS2	chr10	540219	-	38
NTA1	chr10	549856	-	2
ARP3	chr10	554189	-	26
YAE1	chr10	562474	-	22
HAM1	chr10	564443	-	37
LIA1	chr10	565649	-	44
NPA3	chr10	567172	-	41
OPI3	chr10	567972	-	30
CDC11	chr10	571664	-	54
MIR1	chr10	573261	-	47
AIM24	chr10	576668	-	29
EAF6	chr10	577418	-	140
ACF4	chr10	578581	-	23
TMH11	chr10	580498	-	39
EMC2	chr10	582426	-	32
GRR1	chr10	589628	-	292
JSN1	chr10	593372	-	27
FIP1	chr10	599297	-	85
YJR098C	chr10	610213	-	74
AIM25	chr10	612322	-	6
VPS25	chr10	614860	-	110
SOD1	chr10	618042	-	43
CPA2	chr10	627989	-	63
PXP2	chr10	631815	-	124
RSM7	chr10	634012	-	52
ILM1	chr10	639110	-	43
YJR124C	chr10	649243	-	39
ENT3	chr10	650989	-	60
VPS70	chr10	653644	-	-11
RSF2	chr10	657779	-	-246
EFM3	chr10	660031	-	46
STR2	chr10	662131	-	28
SGM1	chr10	670872	-	54
MCM22	chr10	671778	-	34
TTI2	chr10	673679	-	7
MET5	chr10	678318	-	67
HOM6	chr10	685554	-	64
HIR3	chr10	690723	-	61
PMT4	chr10	695630	-	50
RPS4A	chr10	698067	-	33
DAN1	chr10	704714	-	41
DAN4	chr10	710790	-	24
COS9	chr11	21079	+	-53
JEN1	chr11	28703	+	51
URA1	chr11	31680	+	55
SAC1	chr11	40850	+	211
UBA1	chr11	45631	+	49
CBT1	chr11	53665	+	9
EMC3	chr11	54677	+	34
LOS1	chr11	56528	+	40
EAP1	chr11	60187	+	34
MIA40	chr11	82301	+	34
DPH2	chr11	87529	+	30
HYM1	chr11	91057	+	99
ASH1	chr11	101077	+	-126
SPE1	chr11	102989	+	220
LOT5	chr11	105030	+	143
FAS1	chr11	106799	+	324
PRS1	chr11	113592	+	176
RPL17A	chr11	115700	+	21
ZRT3	chr11	125199	+	46
SNU114	chr11	128941	+	28
EBP2	chr11	132192	+	19
NNK1	chr11	133838	+	89
MRPL38	chr11	137034	+	52
PIR3	chr11	150758	+	79
ELF1	chr11	159687	+	18
APE2	chr11	162006	+	-579
RPS27A	chr11	164995	+	54
SRP102	chr11	167957	+	80
MCR1	chr11	172908	+	68
AVT3	chr11	178150	+	19
RPT1	chr11	180545	+	54
LTV1	chr11	183113	+	54
MRP8	chr11	184843	+	58
SDH3	chr11	186012	+	41
TGL1	chr11	186938	+	227
CTK1	chr11	189161	+	183
CMC1	chr11	192283	+	60
PGM1	chr11	209840	+	25
YPK1	chr11	211823	+	208
RRN3	chr11	214441	+	130
SSH4	chr11	216809	+	108
DGR2	chr11	220251	+	215
OAC1	chr11	223591	+	77
SBA1	chr11	226595	+	53
ABF1	chr11	232808	+	86
HAP4	chr11	238280	+	271
SLD2	chr11	240730	+	20
YKL107W	chr11	242418	+	47
AAT1	chr11	243760	+	100
HSL1	chr11	254975	+	269
MTC2	chr11	263068	+	26
CWP2	chr11	265529	+	48
CWP1	chr11	267409	+	47
YJU2	chr11	268435	+	166
YJU3	chr11	269655	+	18
MBR1	chr11	271052	+	61
CUE2	chr11	278197	+	5
CAB3	chr11	281586	+	21
SRX1	chr11	284217	+	80
MDH1	chr11	285048	+	91
HOT13	chr11	286499	+	26
TEF4	chr11	288882	+	25
VMA5	chr11	290941	+	105
SMY1	chr11	292526	+	93
DHR2	chr11	294828	+	33
PSG1	chr11	297405	+	64
LHS1	chr11	302412	+	34
STB6	chr11	305393	+	205
YKL069W	chr11	313311	+	8
YKL068W-A	chr11	315195	+	45
NUP100	chr11	316113	+	120
YNK1	chr11	320792	+	54
DPC7	chr11	321945	+	43
MNR2	chr11	323601	+	197
MSN4	chr11	329147	+	105
BLI1	chr11	331778	+	17
TOA2	chr11	336160	+	30
SFK1	chr11	347167	+	163
ANR2	chr11	355453	+	28
PRI2	chr11	359444	+	67
MMO1	chr11	362495	+	-155
PHD1	chr11	362790	+	-24
SPC42	chr11	364355	+	138
VPS24	chr11	366043	+	118
PTM1	chr11	368481	+	159
RGT1	chr11	371388	+	235
UGP1	chr11	375836	+	73
TUL1	chr11	377756	+	91
YKL033W-A	chr11	380447	+	76
TFA1	chr11	391714	+	30
TCD2	chr11	393431	+	117
YKL023W	chr11	399680	+	27
RAM2	chr11	408529	+	25
SWD2	chr11	410048	+	40
PUT3	chr11	414432	+	98
PRP40	chr11	424236	+	60
MRT4	chr11	432192	+	36
CAP1	chr11	435259	+	29
RPL14A	chr11	437873	+	19
AUR1	chr11	441215	+	351
DID4	chr11	443687	+	77
PAP1	chr11	449017	+	201
OSH6	chr11	451314	+	53
MEH1	chr11	457403	+	17
RSC4	chr11	458154	+	27
PRY2	chr11	469887	+	40
MIC60	chr11	475604	+	47
VPS51	chr11	484255	+	17
ALY1	chr11	485099	+	69
RQT4	chr11	489305	+	48
RPC37	chr11	493673	+	31
BCH2	chr11	497220	+	78
SAP190	chr11	499816	+	375
GMH1	chr11	506164	+	52
DAL80	chr11	512764	+	68
DID2	chr11	513856	+	17
GAP1	chr11	520925	+	72
YKR041W	chr11	524120	+	-6
UTH1	chr11	525236	+	207
UIP5	chr11	527862	+	69
TRK2	chr11	533697	+	21
YKR051W	chr11	536732	+	117
RHO4	chr11	554068	+	51
TRM2	chr11	555466	+	-115
RPS21A	chr11	557515	+	45
GLG1	chr11	558615	+	58
TIF1	chr11	560859	+	31
UTP30	chr11	562390	+	31
KTR2	chr11	563498	+	82
TFA2	chr11	565508	+	61
OAF3	chr11	568406	+	44
GPT2	chr11	573739	+	88
MET1	chr11	577483	+	40
YKR070W	chr11	579481	+	4
AIM29	chr11	585114	+	44
ECM4	chr11	588216	+	16
MSA2	chr11	589574	+	28
YKR078W	chr11	590884	+	17
MTD1	chr11	596275	+	70
NUP133	chr11	598727	+	48
PRP16	chr11	605773	+	34
PXL1	chr11	614723	+	173
SRL3	chr11	617234	+	32
PTR2	chr11	621403	+	93
MLP1	chr11	625404	+	157
PCC1	chr11	631597	+	23
ESL2	chr11	632307	+	242
PCK1	chr11	636761	+	146
BAS1	chr11	641339	+	258
SIR1	chr11	646268	+	18
YKL222C	chr11	12283	-	122
SRY1	chr11	24952	-	72
OXP1	chr11	37254	-	49
YRA2	chr11	38267	-	56
DOA1	chr11	40646	-	21
TRP3	chr11	44715	-	45
STE6	chr11	52839	-	27
ADD66	chr11	56361	-	35
TOR2	chr11	70066	-	190
MNN4	chr11	74030	-	45
PTK1	chr11	76905	-	174
PEX1	chr11	80408	-	32
YKT6	chr11	82095	-	47
MST1	chr11	85178	-	18
SDS22	chr11	86448	-	42
ACP1	chr11	87104	-	43
PXA2	chr11	95298	-	60
FAT3	chr11	98026	-	38
MTR2	chr11	99795	-	45
COY1	chr11	118970	-	15
STE3	chr11	120468	-	-611
LST4	chr11	124780	-	342
TPO5	chr11	128751	-	63
KKQ8	chr11	139915	-	1
MRP49	chr11	140606	-	20
TPK3	chr11	142311	-	154
MCD4	chr11	147166	-	39
PIR1	chr11	149330	-	75
KDX1	chr11	157401	-	278
RCN1	chr11	160889	-	2
RSM22	chr11	167799	-	21
GPM1	chr11	170844	-	23
NNR2	chr11	172394	-	32
DBR1	chr11	175285	-	24
SDH1	chr11	177667	-	152
RPC25	chr11	182931	-	64
HSK3	chr11	191420	-	22
MRPL31	chr11	192177	-	110
APL2	chr11	195149	-	123
OCT1	chr11	197880	-	52
SHE2	chr11	202409	-	50
MYO3	chr11	206561	-	70
PMU1	chr11	208126	-	31
SRP21	chr11	219370	-	48
VPH2	chr11	225584	-	43
PRR1	chr11	229406	-	182
APN1	chr11	230785	-	6
RAD27	chr11	232225	-	26
KTI12	chr11	236263	-	59
SEG2	chr11	249106	-	199
GFA1	chr11	251899	-	202
APE1	chr11	254060	-	54
YPF1	chr11	261807	-	23
UTP11	chr11	262865	-	69
BUD2	chr11	275859	-	76
YKL091C	chr11	277017	-	43
RRP14	chr11	288410	-	65
YKL075C	chr11	300416	-	92
MUD2	chr11	302203	-	-6
YET1	chr11	323127	-	36
YKL063C	chr11	327699	-	157
FBA1	chr11	333533	-	22
MPE1	chr11	335537	-	70
NUP120	chr11	340023	-	30
TMA19	chr11	340978	-	39
OAR1	chr11	342215	-	40
DEF1	chr11	344868	-	97
MDM35	chr11	345533	-	73
ASK1	chr11	346585	-	21
YKL050C	chr11	351712	-	74
CSE4	chr11	352826	-	44
ELM1	chr11	355239	-	85
DCW1	chr11	358875	-	233
NFU1	chr11	367908	-	62
IXR1	chr11	387970	-	94
MAE1	chr11	390774	-	49
GPX1	chr11	395935	-	66
PAN3	chr11	398299	-	34
MIN9	chr11	399198	-	-161
URA6	chr11	399351	-	225
CDC16	chr11	403151	-	-83
MAK11	chr11	404604	-	-132
SPT23	chr11	408119	-	53
MCO12	chr11	409918	-	53
HCS1	chr11	413235	-	8
ATP7	chr11	414046	-	71
URB1	chr11	422916	-	17
ARC19	chr11	424054	-	45
CCE1	chr11	427205	-	3
UFD4	chr11	431976	-	115
LAC1	chr11	434578	-	41
SFT1	chr11	436663	-	45
BYE1	chr11	440979	-	116
MRP17	chr11	443519	-	41
MET14	chr11	445415	-	44
VPS1	chr11	448776	-	68
MRPL13	chr11	457214	-	11
FOX2	chr11	463111	-	77
TOF2	chr11	467333	-	114
YKR011C	chr11	468784	-	108
YPT52	chr11	472186	-	143
HEL1	chr11	479371	-	88
YKR018C	chr11	481862	-	28
NTR2	chr11	489125	-	52
DBP7	chr11	493337	-	31
GCN3	chr11	495670	-	81
SET3	chr11	505779	-	12
SPO14	chr11	512424	-	95
CAF4	chr11	516591	-	24
SPC34	chr11	517745	-	14
KAE1	chr11	519102	-	9
SHB17	chr11	527660	-	32
YKR045C	chr11	529917	-	32
PLN1	chr11	530988	-	11
NAP1	chr11	532562	-	19
FMP46	chr11	533161	-	27
MRS4	chr11	539446	-	79
YSR3	chr11	541265	-	81
DYN1	chr11	553890	-	62
LAS1	chr11	568206	-	6
PAM17	chr11	571811	-	15
CCP1	chr11	573127	-	20
BET3	chr11	576861	-	48
SIS2	chr11	584210	-	138
YKR075C	chr11	586742	-	43
TRZ1	chr11	595500	-	246
RPF2	chr11	598511	-	21
DAD2	chr11	602812	-	40
HBS1	chr11	604875	-	35
MRPL20	chr11	605640	-	9
OMA1	chr11	610204	-	22
TVP38	chr11	611381	-	13
TGL4	chr11	614394	-	79
SRP40	chr11	619678	-	42
RPL40B	chr11	624571	-	63
UBP11	chr11	641075	-	141
SKG1	chr11	646074	-	360
MMP1	chr12	2885	+	16
YLL058W	chr12	8401	+	97
YCT1	chr12	15010	+	36
LDB18	chr12	25602	+	1
FPS1	chr12	34761	+	98
GRC3	chr12	53382	+	114
IRC19	chr12	58315	+	10
FRA1	chr12	66274	+	103
TPO1	chr12	69586	+	134
ISA1	chr12	72105	+	206
HSP104	chr12	73475	+	56
PAU17	chr12	79623	+	32
SPA2	chr12	85697	+	157
BPT1	chr12	101202	+	134
EMC6	chr12	106208	+	18
YEH1	chr12	110362	+	53
SOF1	chr12	112393	+	11
DRS1	chr12	116580	+	30
MMM1	chr12	121417	+	38
ORC3	chr12	125916	+	6
SFI1	chr12	127990	+	60
RTT109	chr12	131116	+	24
DNM1	chr12	132686	+	53
SSL1	chr12	145083	+	37
NSE1	chr12	149456	+	7
RLP24	chr12	151458	+	150
LOT6	chr12	154106	+	68
BRE2	chr12	160237	+	53
MEU1	chr12	162663	+	8
PSR2	chr12	165070	+	276
IRC25	chr12	168648	+	32
SNF7	chr12	179427	+	83
YLR030W	chr12	188307	+	26
RAD5	chr12	190013	+	21
RSC58	chr12	193742	+	63
RPS0B	chr12	221302	+	32
IES3	chr12	226266	+	25
ERG3	chr12	232867	+	67
MNL2	chr12	234314	+	65
FRS1	chr12	240016	+	37
RPL22A	chr12	242224	+	42
BMT6	chr12	243290	+	-79
PER33	chr12	244497	+	13
SPC3	chr12	246198	+	25
FYV7	chr12	250033	+	29
LAM6	chr12	257896	+	20
RPL10	chr12	261941	+	21
FMP25	chr12	262880	+	27
SIC1	chr12	265815	+	40
EMP46	chr12	267001	+	-50
SMC4	chr12	281214	+	54
GAA1	chr12	295097	+	32
XDJ1	chr12	299671	+	52
GEP5	chr12	301286	+	32
SUL2	chr12	302548	+	17
KIN2	chr12	311408	+	203
MIM2	chr12	320312	+	34
ERG27	chr12	320804	+	27
LCL2	chr12	325566	+	40
REX3	chr12	343114	+	16
AHP1	chr12	347758	+	37
YLR112W	chr12	349762	+	43
HOG1	chr12	350496	+	138
CFT2	chr12	356968	+	31
MSL5	chr12	359869	+	-33
SRN2	chr12	364596	+	-48
DCN1	chr12	377496	+	48
DIP2	chr12	378647	+	24
CKI1	chr12	387427	+	32
PDC5	chr12	389694	+	43
SLX4	chr12	392231	+	64
RKM5	chr12	396013	+	7
NHA1	chr12	397288	+	163
RRN5	chr12	402664	+	33
PUT1	chr12	404170	+	30
RMP1	chr12	411173	+	9
YLR146W-A	chr12	412875	+	9
PEP3	chr12	413625	+	30
STM1	chr12	419433	+	48
SHH4	chr12	453746	+	46
RPS31	chr12	458796	+	57
YLR173W	chr12	462246	+	81
IDP2	chr12	464437	+	60
CBF5	chr12	466024	+	18
YLR177W	chr12	470870	+	49
SAM1	chr12	475046	+	56
SWI6	chr12	477750	+	30
RPL37A	chr12	482482	+	21
EMG1	chr12	483415	+	57
SKG3	chr12	484483	+	222
MDL1	chr12	488057	+	83
MMR1	chr12	494676	+	378
PEX13	chr12	497081	+	31
PWP1	chr12	503734	+	74
NOP56	chr12	505896	+	36
YKE2	chr12	508819	+	28
QRI5	chr12	512075	+	30
ENT2	chr12	514273	+	140
HRD3	chr12	516559	+	64
SEC13	chr12	519294	+	92
CLB4	chr12	521765	+	78
FRE1	chr12	528350	+	49
MSC3	chr12	533810	+	173
CCC1	chr12	536504	+	153
UCC1	chr12	546141	+	143
BUR2	chr12	549138	+	36
TOP3	chr12	569557	+	40
THI7	chr12	572114	+	67
FAR10	chr12	574496	+	73
VPS34	chr12	577314	+	33
CSC1	chr12	580246	+	41
GPN3	chr12	583939	+	78
ERF2	chr12	586931	+	1
RCK2	chr12	593476	+	590
YEF3	chr12	596548	+	40
SSP120	chr12	600081	+	44
SYM1	chr12	601175	+	97
MCP2	chr12	602362	+	73
HAP1	chr12	605936	+	287
YLR257W	chr12	617868	+	204
GSY2	chr12	619895	+	67
LCB5	chr12	624993	+	97
RED1	chr12	629068	+	487
RPS28B	chr12	632322	+	22
BOP2	chr12	637356	+	68
SEC22	chr12	639362	+	51
DCS1	chr12	640289	+	111
CMG1	chr12	641793	+	159
MCM5	chr12	651106	+	20
SMD2	chr12	653900	+	49
YLR283W	chr12	664723	+	17
NNT1	chr12	666880	+	34
GUF1	chr12	674613	+	30
YLR297W	chr12	683489	+	109
ECM38	chr12	685503	+	120
EXG1	chr12	688411	+	98
HRI1	chr12	690349	+	30
MET17	chr12	692058	+	38
CDA1	chr12	705097	+	77
CDA2	chr12	707434	+	57
MRPL15	chr12	719022	+	12
NKP2	chr12	724308	+	54
MMS22	chr12	731463	+	16
PEX30	chr12	738683	+	71
YLR326W	chr12	741596	+	117
NMA1	chr12	744242	+	211
CHS5	chr12	747192	+	12
MID2	chr12	749845	+	371
NUP2	chr12	756940	+	30
RPP0	chr12	765367	+	60
FKS1	chr12	769280	+	257
GAS2	chr12	776564	+	-930
RPL26A	chr12	778807	+	45
YLR345W	chr12	779961	+	90
ORM2	chr12	788180	+	55
LUG1	chr12	790429	+	181
BUD8	chr12	793365	+	481
ATG33	chr12	799780	+	31
RSC2	chr12	800777	+	44
ADE13	chr12	803665	+	107
VPS38	chr12	805519	+	74
STE11	chr12	809326	+	30
YLR363W-A	chr12	812923	+	28
GRX8	chr12	813517	+	35
RPS22B	chr12	815305	+	625
SSQ1	chr12	819008	+	23
ROM2	chr12	821998	+	196
ELO3	chr12	826699	+	144
STP3	chr12	831149	+	37
CSR1	chr12	837648	+	93
SMC6	chr12	844667	+	82
VAC14	chr12	853067	+	22
RPS29A	chr12	857555	+	557
ECM19	chr12	862584	+	-60
CCW14	chr12	863128	+	54
ATP10	chr12	866493	+	44
SFP1	chr12	884386	+	640
SEI1	chr12	888164	+	37
DUS4	chr12	889249	+	-2
YLR407W	chr12	892181	+	244
VIP1	chr12	896938	+	61
CTR3	chr12	900709	+	37
BER1	chr12	901862	+	0
INA1	chr12	904604	+	47
VPS36	chr12	908418	+	87
YLR419W	chr12	911876	+	61
URA4	chr12	917593	+	39
DCK1	chr12	919629	+	115
SPP382	chr12	927212	+	30
TUS1	chr12	936557	+	181
TDA5	chr12	940881	+	25
MAG2	chr12	942178	+	94
CRN1	chr12	944579	+	42
IMD3	chr12	956245	+	142
TSR2	chr12	960155	+	53
CAR2	chr12	966285	+	50
MRPL4	chr12	968267	+	58
ECM7	chr12	976326	+	133
YLR446W	chr12	978969	+	69
RPL6B	chr12	982638	+	33
FPR4	chr12	984630	+	21
HMG2	chr12	986261	+	183
