Position	IP	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	KmerGroup	MotifId	KG_score	Strand
12:254545	   40.0	0	   21.0	NaN	NaN	   13.6	   1.38	NaN	   1.42	  -0.51	   0.00	0	   19.0	NaN	NaN	   11.0	   1.69	NaN	   1.76	  -0.48	   0.00	--------	-1	0.00	*
12:306951	   41.0	0	   24.0	NaN	NaN	   17.1	   1.15	NaN	   1.18	  -0.45	   0.00	0	   17.0	NaN	NaN	   13.0	   0.76	NaN	   0.79	  -0.39	   0.00	--------	-1	0.00	*
12:505687	   35.0	0	   20.0	NaN	NaN	   13.6	   1.17	NaN	   1.21	  -0.36	   0.00	0	   15.0	NaN	NaN	   11.0	   0.81	NaN	   0.84	  -0.46	   0.00	--------	-1	0.00	*
12:786626	   31.7	0	   16.2	NaN	NaN	   18.9	   0.15	NaN	   0.16	  -0.47	   0.00	0	   15.5	NaN	NaN	   16.8	   0.21	NaN	   0.21	  -0.71	   0.00	--------	-1	0.00	*
13:1721	   42.0	0	   22.0	NaN	NaN	   15.3	   1.18	NaN	   1.21	  -0.50	   0.00	0	   20.0	NaN	NaN	   12.0	   1.60	NaN	   1.66	  -0.55	   0.00	--------	-1	0.00	*
13:118910	   36.0	0	   25.0	NaN	NaN	   15.3	   1.82	NaN	   1.87	  -0.64	   0.00	0	   11.0	NaN	NaN	   12.0	   0.18	NaN	   0.18	  -0.46	   0.00	--------	-1	0.00	*
13:383965	   39.0	0	   23.0	NaN	NaN	   15.3	   1.38	NaN	   1.42	  -0.44	   0.00	0	   16.0	NaN	NaN	   12.0	   0.77	NaN	   0.80	  -0.38	   0.00	--------	-1	0.00	*
13:531757	   34.0	0	   18.0	NaN	NaN	   18.7	   0.22	NaN	   0.22	  -0.46	   0.00	0	   16.0	NaN	NaN	   14.4	   0.42	NaN	   0.43	  -0.45	   0.00	--------	-1	0.00	*
13:588947	   43.0	0	   23.0	NaN	NaN	   15.3	   1.38	NaN	   1.42	  -0.58	   0.00	0	   20.0	NaN	NaN	   12.0	   1.60	NaN	   1.66	  -0.49	   0.00	--------	-1	0.00	*
13:616707	   31.6	0	   20.0	NaN	NaN	   15.3	   0.84	NaN	   0.86	  -0.52	   0.00	0	   11.6	NaN	NaN	   12.0	   0.26	NaN	   0.27	  -0.43	   0.00	--------	-1	0.00	*
13:802608	   33.0	0	   17.0	NaN	NaN	   15.3	   0.43	NaN	   0.44	  -0.62	   0.00	0	   16.0	NaN	NaN	   12.0	   0.77	NaN	   0.80	  -0.50	   0.00	--------	-1	0.00	*
14:95556	   43.0	0	   26.0	NaN	NaN	   15.7	   1.92	NaN	   1.97	  -0.54	   0.00	0	   17.0	NaN	NaN	   11.8	   1.01	NaN	   1.05	  -0.54	   0.00	--------	-1	0.00	*
14:106932	   40.8	0	   25.1	NaN	NaN	   16.6	   1.65	NaN	   1.70	  -0.56	   0.00	0	   15.6	NaN	NaN	   15.0	   0.35	NaN	   0.36	  -0.56	   0.00	--------	-1	0.00	*
14:210981	   35.0	0	   21.0	NaN	NaN	   15.0	   1.06	NaN	   1.09	  -0.44	   0.00	0	   14.0	NaN	NaN	   11.8	   0.51	NaN	   0.53	  -0.38	   0.00	--------	-1	0.00	*
14:285776	   45.0	0	   24.0	NaN	NaN	   15.0	   1.68	NaN	   1.72	  -0.36	   0.00	0	   21.0	NaN	NaN	   11.8	   1.94	NaN	   2.03	  -0.43	   0.00	--------	-1	0.00	*
14:342813	   38.0	0	   19.0	NaN	NaN	   19.6	   0.23	NaN	   0.23	  -0.57	   0.00	0	   19.0	NaN	NaN	   13.8	   0.93	NaN	   0.96	  -0.37	   0.00	--------	-1	0.00	*
14:383657	   40.0	0	   26.0	NaN	NaN	   16.0	   1.84	NaN	   1.89	  -0.40	   0.00	0	   14.0	NaN	NaN	   13.5	   0.30	NaN	   0.31	  -0.56	   0.00	--------	-1	0.00	*
14:720423	   44.0	0	   25.0	NaN	NaN	   15.0	   1.91	NaN	   1.96	  -0.54	   0.00	0	   19.0	NaN	NaN	   11.8	   1.45	NaN	   1.50	  -0.44	   0.00	--------	-1	0.00	*
15:34213	   33.4	0	   19.9	NaN	NaN	   15.1	   0.86	NaN	   0.88	  -0.65	   0.00	0	   13.5	NaN	NaN	   11.6	   0.53	NaN	   0.55	  -0.43	   0.00	--------	-1	0.00	*
15:212996	   41.2	0	   20.8	NaN	NaN	   15.4	   0.97	NaN	   1.00	  -0.30	   0.00	0	   20.4	NaN	NaN	   12.7	   1.63	NaN	   1.70	  -0.25	   0.00	--------	-1	0.00	*
15:363530	   37.6	0	   22.9	NaN	NaN	   15.1	   1.42	NaN	   1.46	  -0.57	   0.00	0	   14.7	NaN	NaN	   11.6	   0.68	NaN	   0.71	  -0.54	   0.00	--------	-1	0.00	*
15:363981	   31.4	0	   18.1	NaN	NaN	   15.1	   0.71	NaN	   0.73	  -0.52	   0.00	0	   13.3	NaN	NaN	   11.6	   0.53	NaN	   0.55	  -0.50	   0.00	--------	-1	0.00	*
15:695608	   30.8	0	   20.6	NaN	NaN	   15.1	   1.03	NaN	   1.06	  -0.42	   0.00	0	   10.2	NaN	NaN	   11.6	   0.21	NaN	   0.21	  -0.34	   0.00	--------	-1	0.00	*
15:743507	   35.0	0	   18.0	NaN	NaN	   15.1	   0.57	NaN	   0.59	  -0.44	   0.00	0	   17.0	NaN	NaN	   11.6	   1.04	NaN	   1.08	  -0.40	   0.00	--------	-1	0.00	*
15:829973	   45.0	0	   26.0	NaN	NaN	   24.9	   0.35	NaN	   0.36	  -0.63	   0.00	0	   19.0	NaN	NaN	   19.7	   0.22	NaN	   0.23	  -0.50	   0.00	--------	-1	0.00	*
15:842663	   40.0	0	   21.0	NaN	NaN	   15.1	   1.03	NaN	   1.06	  -0.55	   0.00	0	   19.0	NaN	NaN	   11.6	   1.48	NaN	   1.54	  -0.38	   0.00	--------	-1	0.00	*
15:872555	   39.3	0	   25.0	NaN	NaN	   15.1	   1.87	NaN	   1.92	  -0.65	   0.00	0	   14.3	NaN	NaN	   11.6	   0.68	NaN	   0.71	  -0.71	   0.00	--------	-1	0.00	*
15:875153	   32.0	0	   16.0	NaN	NaN	   15.1	   0.35	NaN	   0.35	  -0.29	   0.00	0	   16.0	NaN	NaN	   11.6	   0.85	NaN	   0.89	  -0.45	   0.00	--------	-1	0.00	*
15:909580	   49.0	0	   34.0	NaN	NaN	   24.6	   1.34	NaN	   1.38	  -0.55	   0.00	0	   15.0	NaN	NaN	   17.1	   0.13	NaN	   0.14	  -0.41	   0.00	--------	-1	0.00	*
15:948354	   32.0	0	   19.0	NaN	NaN	   15.1	   0.71	NaN	   0.73	  -0.49	   0.00	0	   13.0	NaN	NaN	   11.6	   0.40	NaN	   0.42	  -0.45	   0.00	--------	-1	0.00	*
15:991296	   42.0	0	   25.0	NaN	NaN	   15.1	   1.87	NaN	   1.92	  -0.44	   0.00	0	   17.0	NaN	NaN	   11.6	   1.04	NaN	   1.08	  -0.49	   0.00	--------	-1	0.00	*
15:1045658	   44.0	0	   23.0	NaN	NaN	   15.1	   1.42	NaN	   1.46	  -0.44	   0.00	0	   21.0	NaN	NaN	   11.6	   1.99	NaN	   2.07	  -0.48	   0.00	--------	-1	0.00	*
16:347245	   52.0	0	   31.0	NaN	NaN	   24.9	   0.86	NaN	   0.88	  -0.51	   0.00	0	   21.0	NaN	NaN	   16.4	   0.78	NaN	   0.81	  -0.47	   0.00	--------	-1	0.00	*
16:433845	   43.8	0	   22.9	NaN	NaN	   15.6	   1.30	NaN	   1.33	  -0.26	   0.00	0	   20.9	NaN	NaN	   11.7	   1.98	NaN	   2.06	  -0.46	   0.00	--------	-1	0.00	*
16:830152	   33.3	0	   20.4	NaN	NaN	   15.6	   0.93	NaN	   0.96	  -0.27	   0.00	0	   12.8	NaN	NaN	   11.7	   0.40	NaN	   0.41	  -0.14	   0.00	--------	-1	0.00	*
2:92505	   43.0	0	   23.0	NaN	NaN	   14.6	   1.55	NaN	   1.59	  -0.49	   0.00	0	   20.0	NaN	NaN	   11.6	   1.75	NaN	   1.82	  -0.54	   0.00	--------	-1	0.00	*
2:251462	   31.3	0	   23.2	NaN	NaN	   14.6	   1.78	NaN	   1.83	  -0.75	   0.00	0	    8.2	NaN	NaN	   13.1	   0.04	NaN	   0.04	  -1.16	   0.00	--------	-1	0.00	*
2:251754	   30.7	0	   17.8	NaN	NaN	   14.6	   0.65	NaN	   0.66	  -0.60	   0.00	0	   12.8	NaN	NaN	   12.7	   0.28	NaN	   0.29	  -1.50	   0.00	--------	-1	0.00	*
2:340614	   44.0	0	   24.0	NaN	NaN	   14.6	   1.78	NaN	   1.83	  -0.47	   0.00	0	   20.0	NaN	NaN	   11.6	   1.75	NaN	   1.82	  -0.47	   0.00	--------	-1	0.00	*
2:638613	   30.8	0	   22.6	NaN	NaN	   14.6	   1.55	NaN	   1.59	  -0.54	   0.00	0	    8.2	NaN	NaN	   11.6	   0.09	NaN	   0.09	  -0.68	   0.00	--------	-1	0.00	*
2:643713	   35.0	0	   20.0	NaN	NaN	   14.6	   0.96	NaN	   0.98	  -0.50	   0.00	0	   15.0	NaN	NaN	   11.6	   0.69	NaN	   0.72	  -0.85	   0.00	--------	-1	0.00	*
3:109012	   36.3	0	   21.6	NaN	NaN	   14.0	   1.50	NaN	   1.54	  -0.60	   0.00	0	   14.7	NaN	NaN	   12.1	   0.60	NaN	   0.63	  -1.30	   0.00	--------	-1	0.00	*
3:152972	   32.0	0	   15.0	NaN	NaN	   12.4	   0.57	NaN	   0.58	  -0.54	   0.00	0	   17.0	NaN	NaN	    9.2	   1.80	NaN	   1.88	  -0.47	   0.00	--------	-1	0.00	*
3:236934	   30.3	0	   18.1	NaN	NaN	   21.2	   0.14	NaN	   0.15	  -0.20	   0.00	0	   12.2	NaN	NaN	   13.2	   0.25	NaN	   0.25	  -0.04	   0.00	--------	-1	0.00	*
3:241052	   61.8	0	   35.4	NaN	NaN	   31.0	   0.68	NaN	   0.69	  -0.64	   0.00	0	   26.4	NaN	NaN	   17.8	   1.53	NaN	   1.59	  -0.73	   0.00	--------	-1	0.00	*
3:339531	   39.0	0	   21.0	NaN	NaN	   12.8	   1.61	NaN	   1.65	  -0.52	   0.00	0	   18.0	NaN	NaN	    9.6	   1.94	NaN	   2.02	  -0.50	   0.00	--------	-1	0.00	*
4:584527	   49.0	0	   27.0	NaN	NaN	   31.3	   0.09	NaN	   0.10	  -0.39	   0.00	0	   22.0	NaN	NaN	   22.4	   0.24	NaN	   0.25	  -0.56	   0.00	--------	-1	0.00	*
4:632337	   34.0	0	   24.0	NaN	NaN	   14.6	   1.77	NaN	   1.82	  -0.76	   0.00	0	   10.0	NaN	NaN	   11.8	   0.13	NaN	   0.13	  -0.61	   0.00	--------	-1	0.00	*
4:864587	   41.0	0	   22.0	NaN	NaN	   14.6	   1.33	NaN	   1.37	  -0.58	   0.00	0	   19.0	NaN	NaN	   11.8	   1.44	NaN	   1.49	  -0.41	   0.00	--------	-1	0.00	*
4:903567	   38.0	0	   18.0	NaN	NaN	   14.6	   0.64	NaN	   0.66	  -0.63	   0.00	0	   20.0	NaN	NaN	   13.1	   1.29	NaN	   1.34	  -0.49	   0.00	--------	-1	0.00	*
4:1151527	   35.0	0	   19.0	NaN	NaN	   14.6	   0.79	NaN	   0.81	  -0.47	   0.00	0	   16.0	NaN	NaN	   11.8	   0.82	NaN	   0.85	  -0.33	   0.00	--------	-1	0.00	*
4:1204287	   40.0	0	   23.0	NaN	NaN	   14.6	   1.55	NaN	   1.59	  -0.44	   0.00	0	   17.0	NaN	NaN	   11.8	   1.01	NaN	   1.04	  -0.65	   0.00	--------	-1	0.00	*
4:1430170	   35.0	0	   14.0	NaN	NaN	   14.6	   0.22	NaN	   0.22	  -1.04	   0.00	0	   21.0	NaN	NaN	   11.8	   1.94	NaN	   2.01	  -0.59	   0.00	--------	-1	0.00	*
4:1438792	   31.3	0	   17.4	NaN	NaN	   14.6	   0.64	NaN	   0.66	  -0.55	   0.00	0	   14.0	NaN	NaN	   11.8	   0.51	NaN	   0.53	  -0.54	   0.00	--------	-1	0.00	*
5:5542	   32.0	0	   19.0	NaN	NaN	   15.5	   0.65	NaN	   0.67	  -0.51	   0.00	0	   13.0	NaN	NaN	   11.9	   0.37	NaN	   0.38	  -0.41	   0.00	--------	-1	0.00	*
5:202166	   36.2	0	   19.3	NaN	NaN	   15.5	   0.80	NaN	   0.82	  -0.64	   0.00	0	   16.9	NaN	NaN	   11.9	   0.97	NaN	   1.01	  -0.68	   0.00	--------	-1	0.00	*
5:264889	   33.0	0	   10.8	NaN	NaN	   15.7	   0.04	NaN	   0.04	  -0.47	   0.00	0	   22.2	NaN	NaN	   13.4	   1.91	NaN	   1.99	  -0.62	   0.00	--------	-1	0.00	*
5:265195	   30.0	0	    9.2	NaN	NaN	   15.8	   0.02	NaN	   0.02	  -1.05	   0.00	0	   20.8	NaN	NaN	   12.7	   1.63	NaN	   1.70	  -0.60	   0.00	--------	-1	0.00	*
5:270865	   38.0	0	   25.0	NaN	NaN	   15.5	   1.76	NaN	   1.81	  -0.69	   0.00	0	   13.0	NaN	NaN	   11.9	   0.37	NaN	   0.38	  -0.49	   0.00	--------	-1	0.00	*
5:285426	   51.2	0	   33.2	NaN	NaN	   22.7	   1.76	NaN	   1.81	  -0.60	   0.00	0	   18.0	NaN	NaN	   13.2	   1.06	NaN	   1.10	  -0.52	   0.00	--------	-1	0.00	*
5:314239	   40.0	0	   22.0	NaN	NaN	   17.4	   0.77	NaN	   0.79	  -0.49	   0.00	0	   18.0	NaN	NaN	   11.9	   1.17	NaN	   1.22	  -0.46	   0.00	--------	-1	0.00	*
5:442249	   40.3	0	   20.4	NaN	NaN	   15.5	   0.96	NaN	   0.98	  -0.44	   0.00	0	   19.9	NaN	NaN	   11.9	   1.63	NaN	   1.69	  -0.54	   0.00	--------	-1	0.00	*
6:6960	   35.0	0	   18.0	NaN	NaN	   12.5	   1.05	NaN	   1.08	  -0.65	   0.00	0	   17.0	NaN	NaN	   12.0	   0.95	NaN	   0.99	  -0.39	   0.00	--------	-1	0.00	*
6:39586	   30.0	0	   18.0	NaN	NaN	   12.0	   1.16	NaN	   1.19	  -0.52	   0.00	0	   12.0	NaN	NaN	    9.9	   0.52	NaN	   0.54	  -0.44	   0.00	--------	-1	0.00	*
6:132237	   37.0	0	   20.0	NaN	NaN	   12.0	   1.62	NaN	   1.66	  -0.42	   0.00	0	   17.0	NaN	NaN	    9.9	   1.55	NaN	   1.61	  -0.55	   0.00	--------	-1	0.00	*
6:201149	   33.0	0	   15.0	NaN	NaN	   12.0	   0.62	NaN	   0.64	  -0.59	   0.00	0	   18.0	NaN	NaN	    9.9	   1.82	NaN	   1.89	  -0.37	   0.00	--------	-1	0.00	*
7:26891	   46.0	0	   26.1	NaN	NaN	   16.4	   1.94	NaN	   1.99	  -0.56	   0.00	0	   19.9	NaN	NaN	   12.0	   1.61	NaN	   1.67	  -0.72	   0.00	--------	-1	0.00	*
7:91409	   39.0	0	   22.0	NaN	NaN	   16.4	   0.94	NaN	   0.96	  -0.57	   0.00	0	   17.0	NaN	NaN	   12.0	   0.96	NaN	   0.99	  -0.51	   0.00	--------	-1	0.00	*
7:348763	   32.0	0	   19.0	NaN	NaN	   16.4	   0.52	NaN	   0.53	  -0.44	   0.00	0	   13.0	NaN	NaN	   12.0	   0.36	NaN	   0.37	  -0.44	   0.00	--------	-1	0.00	*
7:540020	   37.0	0	   24.0	NaN	NaN	   16.4	   1.30	NaN	   1.33	  -0.47	   0.00	0	   13.0	NaN	NaN	   12.0	   0.36	NaN	   0.37	  -0.29	   0.00	--------	-1	0.00	*
7:574737	   47.0	0	   23.0	NaN	NaN	   20.8	   0.46	NaN	   0.47	  -0.41	   0.00	0	   24.0	NaN	NaN	   15.4	   1.53	NaN	   1.59	  -0.41	   0.00	--------	-1	0.00	*
7:757220	   52.0	0	   27.0	NaN	NaN	   17.3	   1.68	NaN	   1.72	  -0.37	   0.00	0	   25.0	NaN	NaN	   14.9	   1.91	NaN	   1.99	  -0.32	   0.00	--------	-1	0.00	*
7:915866	   33.0	0	   21.0	NaN	NaN	   16.4	   0.79	NaN	   0.80	  -0.38	   0.00	0	   12.0	NaN	NaN	   12.0	   0.26	NaN	   0.27	  -0.39	   0.00	--------	-1	0.00	*
7:1072036	   34.0	0	   17.0	NaN	NaN	   16.4	   0.32	NaN	   0.32	  -0.44	   0.00	0	   17.0	NaN	NaN	   12.0	   0.96	NaN	   0.99	  -0.38	   0.00	--------	-1	0.00	*
7:1077110	   45.0	0	   26.0	NaN	NaN	   16.4	   1.71	NaN	   1.76	  -0.41	   0.00	0	   19.0	NaN	NaN	   13.8	   0.94	NaN	   0.98	  -1.06	   0.00	--------	-1	0.00	*
7:1112255	   36.0	0	   16.0	NaN	NaN	   16.4	   0.23	NaN	   0.24	  -0.63	   0.00	0	   20.0	NaN	NaN	   12.0	   1.61	NaN	   1.67	  -0.58	   0.00	--------	-1	0.00	*
8:80018	   32.0	0	   16.0	NaN	NaN	   13.1	   0.61	NaN	   0.62	  -0.50	   0.00	0	   16.0	NaN	NaN	   10.5	   1.11	NaN	   1.15	  -0.39	   0.00	--------	-1	0.00	*
9:423791	   37.0	0	   22.0	NaN	NaN	   13.3	   1.70	NaN	   1.74	  -0.40	   0.00	0	   15.0	NaN	NaN	   10.5	   0.93	NaN	   0.96	  -0.56	   0.00	--------	-1	0.00	*
plasmid-2-micron:4455	  502.0	0	  264.0	NaN	NaN	  301.8	   0.00	NaN	   0.01	  -0.42	   0.71	0	  238.0	NaN	NaN	  238.5	   0.27	NaN	   0.28	  -0.56	   0.71	--------	-1	0.00	*
