Position	IP	CondEth_Present	CondEth_IP	CondEth_Control	CondEth_Fold	CondEth_Expectd	CondEth_Q_-lg10	CondEth_P_-lg10	CondEth_P_poiss	CondEth_IPvsEMP	CondEth_Noise	CondGlu_Present	CondGlu_IP	CondGlu_Control	CondGlu_Fold	CondGlu_Expectd	CondGlu_Q_-lg10	CondGlu_P_-lg10	CondGlu_P_poiss	CondGlu_IPvsEMP	CondGlu_Noise	KmerGroup	MotifId	KG_score	Strand
10:108655	   77.0	1	   49.0	NaN	NaN	   15.0	  11.33	NaN	  11.55	  -0.49	   0.00	1	   28.0	NaN	NaN	   11.5	   4.43	NaN	   4.59	  -0.57	   0.00	--------	-1	0.00	*
10:112062	  179.0	1	  111.0	NaN	NaN	   15.0	  55.75	NaN	  56.32	  -0.57	   0.00	1	   68.0	NaN	NaN	   11.5	  28.78	NaN	  29.35	  -0.56	   0.00	--------	-1	0.00	*
10:124964	 1636.5	1	 1042.0	NaN	NaN	   27.0	 999.00	NaN	 999.00	  -0.59	   0.00	1	  594.5	NaN	NaN	   19.9	 999.00	NaN	 999.00	  -0.59	   0.00	--------	-1	0.00	*
10:125205	  353.5	1	  252.0	NaN	NaN	   26.4	 150.33	NaN	 151.35	  -0.52	   0.00	1	  101.5	NaN	NaN	   19.7	  37.92	NaN	  38.59	  -0.37	   0.00	--------	-1	0.00	*
10:131829	  160.0	1	   90.0	NaN	NaN	   15.0	  38.44	NaN	  38.92	  -0.56	   0.00	1	   70.0	NaN	NaN	   11.5	  30.32	NaN	  30.92	  -0.64	   0.00	--------	-1	0.00	*
10:139162	  206.0	1	  117.0	NaN	NaN	   15.0	  61.02	NaN	  61.62	  -0.56	   0.38	1	   89.0	NaN	NaN	   11.5	  46.16	NaN	  46.93	  -0.49	   0.38	--------	-1	0.00	*
10:148751	  133.5	1	   89.1	NaN	NaN	   15.0	  38.45	NaN	  38.92	  -0.53	   0.00	1	   44.4	NaN	NaN	   11.5	  12.92	NaN	  13.27	  -0.62	   0.00	--------	-1	0.00	*
10:148891	   74.1	1	   44.1	NaN	NaN	   15.0	   9.34	NaN	   9.53	  -0.75	   0.00	1	   30.0	NaN	NaN	   11.5	   5.24	NaN	   5.43	  -0.77	   0.00	--------	-1	0.00	*
10:181092	  212.0	1	  107.0	NaN	NaN	   19.9	  41.29	NaN	  41.78	  -0.74	   0.08	1	  105.0	NaN	NaN	   14.6	  51.35	NaN	  52.18	  -0.58	   0.08	--------	-1	0.00	*
10:220019	  115.0	1	   69.0	NaN	NaN	   15.0	  23.29	NaN	  23.66	  -0.54	   0.00	1	   46.0	NaN	NaN	   11.5	  13.52	NaN	  13.88	  -0.74	   0.00	--------	-1	0.00	*
10:245891	  154.0	1	   87.0	NaN	NaN	   15.0	  36.14	NaN	  36.60	  -0.59	   0.00	1	   67.0	NaN	NaN	   11.5	  28.01	NaN	  28.58	  -0.61	   0.00	--------	-1	0.00	*
10:251755	   47.0	1	   33.0	NaN	NaN	   15.0	   4.30	NaN	   4.42	  -0.70	   0.00	0	   14.0	NaN	NaN	   11.5	   0.56	NaN	   0.58	  -0.43	   0.00	--------	-1	0.00	*
10:321133	  165.0	1	   89.0	NaN	NaN	   15.0	  37.67	NaN	  38.14	  -0.48	   0.00	1	   76.0	NaN	NaN	   11.5	  35.12	NaN	  35.76	  -0.57	   0.00	--------	-1	0.00	*
10:328504	  104.0	1	   56.0	NaN	NaN	   15.0	  15.12	NaN	  15.41	  -0.53	   0.00	1	   48.0	NaN	NaN	   11.5	  14.70	NaN	  15.09	  -0.46	   0.00	--------	-1	0.00	*
10:332132	  645.0	1	  347.0	NaN	NaN	   15.0	 999.00	NaN	 999.00	  -0.66	   0.04	1	  298.0	NaN	NaN	   11.5	 297.21	NaN	 298.89	  -0.65	   0.04	--------	-1	0.00	*
10:357706	   50.0	1	   31.0	NaN	NaN	   15.0	   3.62	NaN	   3.72	  -0.43	   0.00	0	   19.0	NaN	NaN	   11.5	   1.54	NaN	   1.60	  -0.36	   0.00	--------	-1	0.00	*
10:358313	   67.0	1	   38.0	NaN	NaN	   15.0	   6.22	NaN	   6.36	  -0.47	   0.00	1	   29.0	NaN	NaN	   11.5	   4.83	NaN	   5.00	  -0.37	   0.00	--------	-1	0.00	*
10:375265	  269.0	1	  162.0	NaN	NaN	   30.7	  60.84	NaN	  61.45	  -0.51	   0.05	1	  107.0	NaN	NaN	   17.2	  46.56	NaN	  47.33	  -0.55	   0.05	--------	-1	0.00	*
10:388383	   49.0	0	    9.0	NaN	NaN	   15.0	   0.02	NaN	   0.02	  -0.78	   0.00	1	   40.0	NaN	NaN	   11.5	  10.09	NaN	  10.38	  -0.41	   0.00	--------	-1	0.00	*
10:396757	   68.0	1	   41.0	NaN	NaN	   15.0	   7.50	NaN	   7.66	  -0.51	   0.00	1	   27.0	NaN	NaN	   11.5	   4.04	NaN	   4.19	  -0.45	   0.00	--------	-1	0.00	*
10:428788	  141.0	1	   91.0	NaN	NaN	   15.0	  39.23	NaN	  39.70	  -0.51	   0.00	1	   50.0	NaN	NaN	   11.5	  16.09	NaN	  16.50	  -0.59	   0.00	--------	-1	0.00	*
10:442322	  204.0	1	  107.0	NaN	NaN	   15.0	  52.31	NaN	  52.86	  -0.56	   0.27	1	   97.0	NaN	NaN	   11.5	  53.37	NaN	  54.22	  -0.52	   0.27	--------	-1	0.00	*
10:452578	   80.0	1	   49.0	NaN	NaN	   15.0	  11.33	NaN	  11.55	  -0.53	   0.00	1	   31.0	NaN	NaN	   12.0	   5.27	NaN	   5.46	  -0.49	   0.00	--------	-1	0.00	*
10:458041	   83.0	1	   42.0	NaN	NaN	   24.2	   3.11	NaN	   3.20	  -0.40	   0.00	1	   41.0	NaN	NaN	   15.0	   7.37	NaN	   7.61	  -0.67	   0.00	--------	-1	0.00	*
10:515957	   58.5	1	   38.6	NaN	NaN	   15.0	   6.63	NaN	   6.78	  -0.58	   0.00	0	   19.9	NaN	NaN	   13.2	   1.26	NaN	   1.31	  -0.53	   0.00	--------	-1	0.00	*
10:516082	  297.5	1	  209.4	NaN	NaN	   15.0	 156.74	NaN	 157.77	  -0.76	   0.00	1	   88.1	NaN	NaN	   12.7	  42.89	NaN	  43.62	  -0.67	   0.00	--------	-1	0.00	*
10:540555	   96.0	1	   56.0	NaN	NaN	   15.0	  15.13	NaN	  15.41	  -0.56	   0.00	1	   40.0	NaN	NaN	   11.5	  10.08	NaN	  10.38	  -0.48	   0.00	--------	-1	0.00	*
10:568107	  706.8	1	  470.4	NaN	NaN	   16.3	 999.00	NaN	 999.00	  -0.66	   0.06	1	  236.4	NaN	NaN	   13.9	 195.05	NaN	 196.46	  -0.71	   0.06	--------	-1	0.00	*
10:568147	  316.2	1	  208.6	NaN	NaN	   16.3	 148.61	NaN	 149.61	  -0.67	   0.06	1	  107.6	NaN	NaN	   13.9	  55.77	NaN	  56.65	  -0.79	   0.06	--------	-1	0.00	*
10:573403	  143.0	1	  103.0	NaN	NaN	   16.3	  45.81	NaN	  46.33	  -0.55	   0.29	1	   40.0	NaN	NaN	   11.7	   9.78	NaN	  10.07	  -0.52	   0.29	--------	-1	0.00	*
10:601754	  178.8	1	  121.1	NaN	NaN	   15.0	  65.52	NaN	  66.14	  -0.72	   0.00	1	   57.7	NaN	NaN	   11.5	  21.43	NaN	  21.92	  -0.72	   0.00	--------	-1	0.00	*
10:601844	  256.2	1	  176.9	NaN	NaN	   15.0	 120.21	NaN	 121.07	  -0.82	   0.00	1	   79.3	NaN	NaN	   11.5	  38.43	NaN	  39.10	  -0.82	   0.00	--------	-1	0.00	*
10:604224	  114.0	1	   82.0	NaN	NaN	   15.0	  32.39	NaN	  32.83	  -0.67	   0.00	1	   32.0	NaN	NaN	   11.5	   6.11	NaN	   6.32	  -0.50	   0.00	--------	-1	0.00	*
10:615416	  105.0	1	   57.0	NaN	NaN	   15.6	  15.02	NaN	  15.30	  -0.54	   0.00	1	   48.0	NaN	NaN	   12.0	  13.98	NaN	  14.35	  -0.57	   0.00	--------	-1	0.00	*
10:618394	  929.0	1	  596.0	NaN	NaN	   16.8	 999.00	NaN	 999.00	  -0.66	   0.13	1	  333.0	NaN	NaN	   14.5	 315.08	NaN	 316.78	  -0.56	   0.13	--------	-1	0.00	*
10:634461	  160.0	1	  102.0	NaN	NaN	   16.6	  44.32	NaN	  44.83	  -0.55	   0.00	1	   58.0	NaN	NaN	   13.2	  18.72	NaN	  19.18	  -0.42	   0.00	--------	-1	0.00	*
10:634978	   80.0	0	   26.0	NaN	NaN	   16.6	   1.67	NaN	   1.72	  -0.39	   0.00	1	   54.0	NaN	NaN	   13.2	  16.23	NaN	  16.64	  -0.44	   0.00	--------	-1	0.00	*
10:642133	  163.0	1	   98.0	NaN	NaN	   15.0	  44.81	NaN	  45.32	  -0.61	   0.20	1	   65.0	NaN	NaN	   11.5	  26.50	NaN	  27.05	  -0.55	   0.20	--------	-1	0.00	*
10:644539	   70.0	1	   43.0	NaN	NaN	   15.0	   8.40	NaN	   8.58	  -0.52	   0.00	1	   27.0	NaN	NaN	   11.5	   4.04	NaN	   4.19	  -0.46	   0.00	--------	-1	0.00	*
10:658319	  143.3	1	   86.0	NaN	NaN	   15.0	  35.39	NaN	  35.83	  -0.59	   0.00	1	   57.3	NaN	NaN	   11.5	  21.43	NaN	  21.92	  -0.45	   0.00	--------	-1	0.00	*
10:658468	  154.7	1	  102.0	NaN	NaN	   15.0	  48.94	NaN	  49.47	  -0.82	   0.00	1	   52.7	NaN	NaN	   11.5	  18.03	NaN	  18.47	  -0.74	   0.00	--------	-1	0.00	*
10:667803	  125.0	1	   68.0	NaN	NaN	   15.0	  22.63	NaN	  22.99	  -0.63	   0.36	1	   57.0	NaN	NaN	   11.5	  20.74	NaN	  21.21	  -0.59	   0.36	--------	-1	0.00	*
10:678557	   78.0	1	   44.0	NaN	NaN	   15.0	   8.86	NaN	   9.05	  -0.47	   0.00	1	   34.0	NaN	NaN	   11.5	   7.03	NaN	   7.27	  -0.48	   0.00	--------	-1	0.00	*
10:685706	   65.0	1	   42.0	NaN	NaN	   15.0	   7.94	NaN	   8.11	  -0.54	   0.00	1	   23.0	NaN	NaN	   11.5	   2.65	NaN	   2.76	  -0.93	   0.00	--------	-1	0.00	*
10:698759	   99.0	1	   68.0	NaN	NaN	   21.7	  14.49	NaN	  14.76	  -0.58	   0.00	1	   31.0	NaN	NaN	   11.5	   5.67	NaN	   5.87	  -0.60	   0.00	--------	-1	0.00	*
10:714317	   49.0	1	   28.0	NaN	NaN	   15.0	   2.70	NaN	   2.78	  -0.59	   0.00	1	   21.0	NaN	NaN	   11.5	   2.05	NaN	   2.14	  -0.39	   0.00	--------	-1	0.00	*
11:9091	   62.0	1	   32.0	NaN	NaN	   17.5	   2.84	NaN	   2.92	  -0.64	   0.00	1	   30.0	NaN	NaN	   13.0	   4.26	NaN	   4.42	  -0.42	   0.00	--------	-1	0.00	*
11:27459	  482.0	1	  388.0	NaN	NaN	   17.5	 999.00	NaN	 999.00	  -0.74	   0.08	1	   94.0	NaN	NaN	   15.0	  41.21	NaN	  41.93	  -0.66	   0.08	--------	-1	0.00	*
11:28241	  148.0	1	   68.0	NaN	NaN	   20.2	  16.07	NaN	  16.35	  -0.59	   0.33	1	   80.0	NaN	NaN	   17.4	  26.62	NaN	  27.16	  -0.50	   0.33	--------	-1	0.00	*
11:31529	   56.0	1	   41.0	NaN	NaN	   17.5	   5.78	NaN	   5.92	  -0.46	   0.00	0	   15.0	NaN	NaN	   13.0	   0.47	NaN	   0.49	  -0.68	   0.00	--------	-1	0.00	*
11:74739	  249.1	1	  150.8	NaN	NaN	   37.6	  42.96	NaN	  43.46	  -0.77	   0.00	1	   98.3	NaN	NaN	   22.7	  30.93	NaN	  31.52	  -0.78	   0.00	--------	-1	0.00	*
11:74970	  290.9	1	  183.2	NaN	NaN	   39.2	  61.53	NaN	  62.13	  -0.69	   0.00	1	  107.7	NaN	NaN	   25.8	  32.30	NaN	  32.91	  -0.63	   0.00	--------	-1	0.00	*
11:76237	  142.0	1	   93.0	NaN	NaN	   41.8	  10.99	NaN	  11.21	  -0.65	   0.08	1	   49.0	NaN	NaN	   26.8	   3.97	NaN	   4.13	  -0.50	   0.08	--------	-1	0.00	*
11:106273	 3967.6	1	 2550.7	NaN	NaN	   42.8	 999.00	NaN	 999.00	  -0.53	   0.06	1	 1416.8	NaN	NaN	   30.9	 999.00	NaN	 999.00	  -0.57	   0.06	--------	-1	0.00	*
11:106416	 2025.4	1	  992.3	NaN	NaN	   43.0	 999.00	NaN	 999.00	  -0.56	   0.06	1	 1033.2	NaN	NaN	   30.9	 999.00	NaN	 999.00	  -0.62	   0.06	--------	-1	0.00	*
11:115541	   57.0	1	   34.0	NaN	NaN	   17.5	   3.41	NaN	   3.51	  -0.48	   0.00	1	   23.0	NaN	NaN	   13.0	   2.03	NaN	   2.12	  -0.48	   0.00	--------	-1	0.00	*
11:144633	   53.0	0	   25.0	NaN	NaN	   17.5	   1.24	NaN	   1.27	  -0.54	   0.00	1	   28.0	NaN	NaN	   13.0	   3.55	NaN	   3.69	  -0.57	   0.00	--------	-1	0.00	*
11:149749	   81.0	1	   48.0	NaN	NaN	   17.5	   8.64	NaN	   8.82	  -0.51	   0.00	1	   33.0	NaN	NaN	   13.0	   5.42	NaN	   5.62	  -0.46	   0.00	--------	-1	0.00	*
11:153527	  173.0	1	  100.0	NaN	NaN	   17.5	  40.73	NaN	  41.22	  -0.61	   0.00	1	   73.0	NaN	NaN	   13.0	  29.39	NaN	  29.97	  -0.57	   0.00	--------	-1	0.00	*
11:177802	   94.8	1	   62.9	NaN	NaN	   18.5	  15.05	NaN	  15.33	  -0.79	   0.00	1	   32.0	NaN	NaN	   13.0	   5.02	NaN	   5.20	  -0.59	   0.00	--------	-1	0.00	*
11:182962	  128.0	1	   75.0	NaN	NaN	   17.5	  23.36	NaN	  23.73	  -0.51	   0.00	1	   53.0	NaN	NaN	   13.0	  15.83	NaN	  16.23	  -0.51	   0.00	--------	-1	0.00	*
11:208245	   95.0	1	   47.0	NaN	NaN	   17.5	   8.20	NaN	   8.38	  -0.56	   0.00	1	   48.0	NaN	NaN	   13.0	  12.79	NaN	  13.13	  -0.55	   0.00	--------	-1	0.00	*
11:211402	   73.0	1	   45.0	NaN	NaN	   17.5	   7.36	NaN	   7.52	  -0.50	   0.00	1	   28.0	NaN	NaN	   13.0	   3.55	NaN	   3.69	  -0.47	   0.00	--------	-1	0.00	*
11:223336	  118.0	1	   62.0	NaN	NaN	   17.5	  15.72	NaN	  16.00	  -0.54	   0.00	1	   56.0	NaN	NaN	   13.0	  17.68	NaN	  18.11	  -0.60	   0.00	--------	-1	0.00	*
11:236396	   97.0	1	   51.0	NaN	NaN	   24.4	   5.64	NaN	   5.78	  -0.45	   0.00	1	   46.0	NaN	NaN	   17.4	   7.79	NaN	   8.03	  -0.39	   0.00	--------	-1	0.00	*
11:237865	  322.0	1	  207.0	NaN	NaN	   25.3	 110.75	NaN	 111.57	  -0.64	   0.63	1	  115.0	NaN	NaN	   19.6	  47.55	NaN	  48.33	  -0.48	   0.63	--------	-1	0.00	*
11:264856	  217.3	1	  136.8	NaN	NaN	   25.0	  53.56	NaN	  54.12	  -0.61	   0.00	1	   80.5	NaN	NaN	   18.7	  25.31	NaN	  25.84	  -0.66	   0.00	--------	-1	0.00	*
11:265092	  500.7	1	  346.2	NaN	NaN	   25.0	 257.15	NaN	 258.47	  -0.56	   0.00	1	  154.5	NaN	NaN	   19.5	  81.09	NaN	  82.12	  -0.68	   0.00	--------	-1	0.00	*
11:266634	  259.0	1	  158.0	NaN	NaN	   26.5	  66.36	NaN	  66.99	  -0.57	   0.13	1	  101.0	NaN	NaN	   20.2	  36.33	NaN	  36.98	  -0.57	   0.13	--------	-1	0.00	*
11:284505	  111.7	1	   74.0	NaN	NaN	   17.5	  22.74	NaN	  23.10	  -0.80	   0.00	1	   37.8	NaN	NaN	   13.0	   7.61	NaN	   7.86	  -0.69	   0.00	--------	-1	0.00	*
11:284845	   58.3	1	   35.0	NaN	NaN	   17.5	   4.03	NaN	   4.14	  -0.57	   0.00	1	   23.2	NaN	NaN	   13.0	   2.30	NaN	   2.40	  -0.68	   0.00	--------	-1	0.00	*
11:288726	  136.0	1	   87.0	NaN	NaN	   17.5	  31.31	NaN	  31.74	  -0.58	   0.00	1	   49.0	NaN	NaN	   13.0	  13.36	NaN	  13.71	  -0.65	   0.00	--------	-1	0.00	*
11:314539	  100.1	1	   67.0	NaN	NaN	   17.5	  18.53	NaN	  18.85	  -0.66	   0.00	1	   33.1	NaN	NaN	   13.0	   5.84	NaN	   6.04	  -0.88	   0.00	--------	-1	0.00	*
11:314857	  235.9	1	  158.0	NaN	NaN	   17.5	  91.59	NaN	  92.34	  -0.62	   0.00	1	   77.9	NaN	NaN	   13.0	  33.19	NaN	  33.80	  -0.48	   0.00	--------	-1	0.00	*
11:328700	  278.0	1	  181.0	NaN	NaN	   18.2	 110.70	NaN	 111.52	  -0.48	   0.49	1	   97.0	NaN	NaN	   16.8	  39.73	NaN	  40.42	  -0.45	   0.49	--------	-1	0.00	*
11:333830	  137.0	1	   92.0	NaN	NaN	   17.5	  34.85	NaN	  35.29	  -0.48	   0.00	1	   45.0	NaN	NaN	   13.0	  11.14	NaN	  11.45	  -0.55	   0.00	--------	-1	0.00	*
11:340082	   51.0	1	   29.0	NaN	NaN	   17.5	   2.07	NaN	   2.13	  -0.45	   0.00	0	   22.0	NaN	NaN	   13.0	   1.78	NaN	   1.85	  -0.42	   0.00	--------	-1	0.00	*
11:346889	   47.0	0	   22.0	NaN	NaN	   17.5	   0.75	NaN	   0.77	  -0.52	   0.00	1	   25.0	NaN	NaN	   13.0	   2.59	NaN	   2.70	  -1.15	   0.00	--------	-1	0.00	*
11:361566	  270.0	1	  180.0	NaN	NaN	   24.4	  89.29	NaN	  90.03	  -0.54	   0.72	1	   90.0	NaN	NaN	   16.3	  35.61	NaN	  36.24	  -0.55	   0.72	--------	-1	0.00	*
11:371097	  161.0	1	   73.0	NaN	NaN	   17.5	  22.12	NaN	  22.48	  -0.64	   0.00	1	   88.0	NaN	NaN	   13.0	  41.16	NaN	  41.88	  -0.68	   0.00	--------	-1	0.00	*
11:375380	  122.0	1	   68.0	NaN	NaN	   17.5	  19.12	NaN	  19.44	  -0.53	   0.50	1	   54.0	NaN	NaN	   13.0	  16.43	NaN	  16.85	  -0.59	   0.50	--------	-1	0.00	*
11:388033	   86.5	1	   60.5	NaN	NaN	   38.6	   3.19	NaN	   3.28	  -0.64	   0.00	1	   26.0	NaN	NaN	   13.0	   2.89	NaN	   3.01	  -0.65	   0.00	--------	-1	0.00	*
11:388174	  175.5	1	  110.5	NaN	NaN	   38.4	  20.68	NaN	  21.02	  -0.59	   0.00	1	   65.0	NaN	NaN	   13.0	  24.34	NaN	  24.85	  -0.71	   0.00	--------	-1	0.00	*
11:389272	  291.0	1	  261.0	NaN	NaN	   46.5	 103.20	NaN	 104.00	  -0.58	   0.70	1	   30.0	NaN	NaN	   15.9	   2.85	NaN	   2.97	  -0.38	   0.70	--------	-1	0.00	*
11:393323	   62.0	1	   43.0	NaN	NaN	   18.4	   5.99	NaN	   6.13	  -0.48	   0.00	0	   19.0	NaN	NaN	   16.1	   0.55	NaN	   0.57	  -0.44	   0.00	--------	-1	0.00	*
11:423056	   90.0	1	   46.0	NaN	NaN	   17.5	   7.78	NaN	   7.94	  -0.55	   0.00	1	   44.0	NaN	NaN	   13.0	  10.60	NaN	  10.91	  -0.47	   0.00	--------	-1	0.00	*
11:434912	   74.0	1	   45.0	NaN	NaN	   17.5	   7.36	NaN	   7.52	  -0.51	   0.00	1	   29.0	NaN	NaN	   13.0	   3.89	NaN	   4.05	  -0.49	   0.00	--------	-1	0.00	*
11:458289	   56.0	0	   28.0	NaN	NaN	   17.5	   1.84	NaN	   1.90	  -0.66	   0.00	1	   28.0	NaN	NaN	   13.0	   3.55	NaN	   3.69	  -0.36	   0.00	--------	-1	0.00	*
11:469521	  137.0	1	   91.0	NaN	NaN	   17.5	  34.13	NaN	  34.57	  -0.42	   0.07	1	   46.0	NaN	NaN	   13.0	  11.68	NaN	  12.00	  -0.65	   0.07	--------	-1	0.00	*
11:520326	  101.0	1	   77.0	NaN	NaN	   24.1	  16.88	NaN	  17.18	  -0.40	   0.00	0	   24.0	NaN	NaN	   15.3	   1.56	NaN	   1.62	  -0.34	   0.00	--------	-1	0.00	*
11:520588	  113.0	1	   79.0	NaN	NaN	   24.3	  17.77	NaN	  18.07	  -0.55	   0.00	1	   34.0	NaN	NaN	   15.4	   4.38	NaN	   4.54	  -0.38	   0.00	--------	-1	0.00	*
11:555454	   46.0	1	   31.0	NaN	NaN	   17.5	   2.57	NaN	   2.64	  -0.49	   0.00	0	   15.0	NaN	NaN	   13.0	   0.47	NaN	   0.49	  -0.39	   0.00	--------	-1	0.00	*
11:620848	  161.0	1	  106.0	NaN	NaN	   17.5	  45.33	NaN	  45.84	  -0.47	   0.40	1	   55.0	NaN	NaN	   13.0	  17.05	NaN	  17.48	  -0.65	   0.40	--------	-1	0.00	*
11:632147	   73.0	1	   45.0	NaN	NaN	   17.5	   7.36	NaN	   7.52	  -0.47	   0.00	1	   28.0	NaN	NaN	   13.0	   3.55	NaN	   3.69	  -0.52	   0.00	--------	-1	0.00	*
11:666214	   52.0	1	   34.0	NaN	NaN	   17.5	   3.41	NaN	   3.51	  -0.51	   0.00	0	   18.0	NaN	NaN	   13.0	   0.93	NaN	   0.96	  -0.38	   0.00	--------	-1	0.00	*
12:8294	  128.0	1	   74.0	NaN	NaN	   15.2	  26.34	NaN	  26.73	  -0.61	   0.00	1	   54.0	NaN	NaN	   14.8	  14.14	NaN	  14.52	  -0.54	   0.00	--------	-1	0.00	*
12:14534	  130.0	1	   84.0	NaN	NaN	   13.9	  36.02	NaN	  36.47	  -0.58	   0.62	1	   46.0	NaN	NaN	   11.6	  13.32	NaN	  13.68	  -0.34	   0.62	--------	-1	0.00	*
12:21819	  169.0	1	  107.0	NaN	NaN	   13.6	  56.05	NaN	  56.62	  -0.64	   0.24	1	   62.0	NaN	NaN	   11.0	  25.19	NaN	  25.73	  -0.80	   0.24	--------	-1	0.00	*
12:50377	  120.0	1	   75.0	NaN	NaN	   13.6	  29.81	NaN	  30.23	  -0.53	   0.50	1	   45.0	NaN	NaN	   13.9	  10.19	NaN	  10.49	  -0.38	   0.50	--------	-1	0.00	*
12:69099	  272.0	1	  168.0	NaN	NaN	   13.6	 116.89	NaN	 117.73	  -0.58	   0.23	1	  104.0	NaN	NaN	   12.0	  58.03	NaN	  58.92	  -0.68	   0.23	--------	-1	0.00	*
12:78974	   75.0	1	   43.0	NaN	NaN	   13.6	   9.56	NaN	   9.76	  -0.67	   0.00	1	   32.0	NaN	NaN	   11.0	   6.49	NaN	   6.71	  -0.47	   0.00	--------	-1	0.00	*
12:96840	   78.0	1	   37.0	NaN	NaN	   15.2	   5.65	NaN	   5.78	  -0.46	   0.00	1	   41.0	NaN	NaN	   12.5	   9.52	NaN	   9.80	  -0.42	   0.00	--------	-1	0.00	*
12:164994	   82.0	1	   50.0	NaN	NaN	   13.6	  13.29	NaN	  13.55	  -0.66	   0.00	1	   32.0	NaN	NaN	   11.0	   6.49	NaN	   6.71	  -0.40	   0.00	--------	-1	0.00	*
12:172626	  182.0	1	  121.0	NaN	NaN	   13.6	  68.91	NaN	  69.56	  -0.54	   0.61	1	   61.0	NaN	NaN	   11.0	  24.46	NaN	  24.98	  -0.47	   0.61	--------	-1	0.00	*
12:197477	  154.0	1	   84.0	NaN	NaN	   13.6	  36.69	NaN	  37.14	  -0.58	   0.00	1	   70.0	NaN	NaN	   11.0	  31.38	NaN	  31.98	  -0.59	   0.00	--------	-1	0.00	*
12:209812	   45.0	1	   26.0	NaN	NaN	   13.6	   2.66	NaN	   2.74	  -0.54	   0.00	0	   19.0	NaN	NaN	   11.0	   1.69	NaN	   1.76	  -0.39	   0.00	--------	-1	0.00	*
12:214073	  163.0	1	  104.0	NaN	NaN	   14.1	  52.15	NaN	  52.70	  -0.49	   0.71	1	   59.0	NaN	NaN	   13.2	  19.22	NaN	  19.69	  -0.39	   0.71	--------	-1	0.00	*
12:221199	   70.0	1	   46.0	NaN	NaN	   13.6	  11.10	NaN	  11.33	  -0.45	   0.00	1	   24.0	NaN	NaN	   11.0	   3.21	NaN	   3.34	  -0.40	   0.00	--------	-1	0.00	*
12:253074	   70.0	1	   38.0	NaN	NaN	   13.6	   7.19	NaN	   7.34	  -0.42	   0.40	1	   32.0	NaN	NaN	   11.0	   6.49	NaN	   6.71	  -0.44	   0.40	--------	-1	0.00	*
12:260122	   58.0	1	   45.0	NaN	NaN	   13.6	  10.58	NaN	  10.79	  -0.65	   0.00	0	   13.0	NaN	NaN	   11.0	   0.49	NaN	   0.51	  -0.32	   0.00	--------	-1	0.00	*
